code_zone_geo;zone_geographique;annee;code_type_org;type_d_organisme;code_indicateur;indicateur;code_type_pers;type_de_personnel;secret;non_disponible;etat_des_donnees;valeur
52;Pays de la Loire;2008;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;642.98
52;Pays de la Loire;2011;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;2945.55
53;Bretagne;2009;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;5940.43
53;Bretagne;2010;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;5928.84
53;Bretagne;2011;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;5735.59
53;Bretagne;2013;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;semi-définitif;5677.57
54;Poitou-Charentes;2001;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;142.42
54;Poitou-Charentes;2005;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;1535.4
54;Poitou-Charentes;2007;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;846.15
54;Poitou-Charentes;2010;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;1197.49
54;Poitou-Charentes;2012;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;2243.29
54;Poitou-Charentes;2013;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;semi-définitif;432.93
72;Aquitaine;2006;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;5462.51
72;Aquitaine;2006;2;Entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;650.87
72;Aquitaine;2008;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;3591.81
72;Aquitaine;2009;1;Administrations;dird;Dépense intérieure de R&D;;;non;non;définitif;452.91
72;Aquitaine;2009;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;7826.84
73;Midi-Pyrénées;2007;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;6403.38
73;Midi-Pyrénées;2008;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3516.79
73;Midi-Pyrénées;2010;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;4829.63
73;Midi-Pyrénées;2011;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;3574.05
74;Limousin;2002;1;Administrations;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;501.04
74;Limousin;2003;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;337.8
74;Limousin;2005;1;Administrations;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;215.56
74;Limousin;2007;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;999.61
74;Limousin;2008;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;152.28
74;Limousin;2009;2;Entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;1227.34
74;Limousin;2011;0;Total administrations et entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;définitif;968.46
74;Limousin;2011;2;Entreprises;pers;Effectifs de R&D;1;Chercheurs;non;non;définitif;449.16
74;Limousin;2012;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;183.28
74;Limousin;2013;2;Entreprises;pers;Effectifs de R&D;2;Soutien à la recherche;non;non;semi-définitif;686.0
82;Rhône-Alpes;2001;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;3647.27
41;Lorraine;2001;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;537.45
41;Lorraine;2001;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;6982.85
41;Lorraine;2002;0;Total administrations et entreprises;dird;Dépense intérieure de R&D;;;non;non;définitif;531.2
41;Lorraine;2005;0;Total administrations et entreprises;pers;Effectifs de R&D;0;Tous types de personnel;non;non;définitif;6845.71
